2021-04-29 08:49:29,903 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 5 |k_down_up = 19 |start=1.00000000 |end=|1.02147693|percent = 2.148%
2021-04-29 08:50:03,941 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 6 |k_down_up = 19 |start=1.00000000 |end=|1.02010754|percent = 2.011%
2021-04-29 08:50:37,946 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 7 |k_down_up = 19 |start=1.00000000 |end=|1.02019585|percent = 2.020%
2021-04-29 08:51:12,052 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 8 |k_down_up = 19 |start=1.00000000 |end=|1.02182320|percent = 2.182%
2021-04-29 08:51:46,063 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 9 |k_down_up = 19 |start=1.00000000 |end=|1.02068616|percent = 2.069%
2021-04-29 08:52:19,935 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 10 |k_down_up = 19 |start=1.00000000 |end=|1.02184298|percent = 2.184%
2021-04-29 08:52:53,786 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 11 |k_down_up = 19 |start=1.00000000 |end=|1.02013029|percent = 2.013%
2021-04-29 08:53:27,746 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 12 |k_down_up = 19 |start=1.00000000 |end=|1.02079948|percent = 2.080%
2021-04-29 08:54:01,544 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 13 |k_down_up = 19 |start=1.00000000 |end=|1.02107063|percent = 2.107%
2021-04-29 08:54:35,354 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 14 |k_down_up = 19 |start=1.00000000 |end=|1.02119619|percent = 2.120%
2021-04-29 08:55:09,088 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 15 |k_down_up = 19 |start=1.00000000 |end=|1.02310630|percent = 2.311%
2021-04-29 08:55:42,850 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 16 |k_down_up = 19 |start=1.00000000 |end=|1.02184269|percent = 2.184%
2021-04-29 08:56:16,544 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 17 |k_down_up = 19 |start=1.00000000 |end=|1.02336630|percent = 2.337%
2021-04-29 08:56:50,242 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 18 |k_down_up = 19 |start=1.00000000 |end=|1.02244886|percent = 2.245%
2021-04-29 08:57:23,928 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 19 |k_down_up = 19 |start=1.00000000 |end=|1.02302223|percent = 2.302%
2021-04-29 08:57:57,637 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 20 |k_down_up = 19 |start=1.00000000 |end=|1.02182517|percent = 2.183%
2021-04-29 08:58:31,267 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 21 |k_down_up = 19 |start=1.00000000 |end=|1.02377112|percent = 2.377%
2021-04-29 08:59:04,911 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 22 |k_down_up = 19 |start=1.00000000 |end=|1.02272733|percent = 2.273%
2021-04-29 08:59:38,494 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 23 |k_down_up = 19 |start=1.00000000 |end=|1.02435082|percent = 2.435%
2021-04-29 09:00:12,052 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 24 |k_down_up = 19 |start=1.00000000 |end=|1.02452131|percent = 2.452%
2021-04-29 09:00:45,523 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 25 |k_down_up = 19 |start=1.00000000 |end=|1.02429962|percent = 2.430%
2021-04-29 09:01:19,025 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 26 |k_down_up = 19 |start=1.00000000 |end=|1.02425745|percent = 2.426%
2021-04-29 09:01:52,440 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 1 |time_start_order = 27 |k_down_up = 19 |start=1.00000000 |end=|1.02454152|percent = 2.454%
